"Tissue","group","cell_type","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","isTissuespecific","isCellTypespecific"
"124","Bladder","old vs mid","Endothelial cell","GSTP1",6.31e-70,-0.828045021,0.84,0.881,1.08e-65,"DOWN",FALSE,FALSE
"125","Bladder","old vs mid","Endothelial cell","SPINT2",2.17e-68,-0.947727649,0.069,0.294,3.7e-64,"DOWN",FALSE,FALSE
"126","Bladder","old vs mid","Endothelial cell","MT-ND4",2.35e-68,-0.90687041,0.996,1,4e-64,"DOWN",FALSE,FALSE
"127","Bladder","old vs mid","Endothelial cell","MT-CO3",3.19e-64,-0.860281995,0.995,1,5.44e-60,"DOWN",FALSE,FALSE
"128","Bladder","old vs mid","Endothelial cell","NRARP",3.14e-62,0.829100392,0.479,0.077,5.36e-58,"UP",FALSE,FALSE
"129","Bladder","old vs mid","Endothelial cell","MT-CO1",1.31e-61,-0.807344123,0.995,1,2.24e-57,"DOWN",FALSE,FALSE
"130","Bladder","old vs mid","Endothelial cell","GIMAP5",3.3e-61,0.796014979,0.45,0.059,5.62e-57,"UP",FALSE,TRUE
"131","Bladder","old vs mid","Endothelial cell","CLDN7",2.95e-59,-0.792253135,0.048,0.253,5.04e-55,"DOWN",FALSE,FALSE
"132","Bladder","old vs mid","Endothelial cell","HSPA1B",1.35e-58,1.380126325,0.741,0.361,2.29e-54,"UP",FALSE,FALSE
"133","Bladder","old vs mid","Endothelial cell","H2AFX",2.8e-58,0.816386047,0.532,0.124,4.77e-54,"UP",TRUE,FALSE
"134","Bladder","old vs mid","Endothelial cell","KRT18",3.23e-57,-0.943087489,0.282,0.33,5.5e-53,"DOWN",FALSE,FALSE
"135","Bladder","old vs mid","Endothelial cell","VAMP8",1.52e-56,-0.903024689,0.193,0.387,2.59e-52,"DOWN",FALSE,TRUE
"136","Bladder","old vs mid","Endothelial cell","CLDN5",3.01e-56,1.219725732,0.878,0.613,5.14e-52,"UP",FALSE,TRUE
"137","Bladder","old vs mid","Endothelial cell","LAMB3",1.05e-54,-0.644092482,0.035,0.245,1.79e-50,"DOWN",FALSE,FALSE
"138","Bladder","old vs mid","Endothelial cell","PLVAP",3.53e-54,0.954848824,0.879,0.624,6.02e-50,"UP",FALSE,TRUE
"139","Bladder","old vs mid","Endothelial cell","SERPINA3",8.96e-54,1.501435908,0.278,0,1.53e-49,"UP",FALSE,FALSE
"140","Bladder","old vs mid","Endothelial cell","EZR",1.85e-53,-0.811940645,0.317,0.425,3.15e-49,"DOWN",FALSE,TRUE
"141","Bladder","old vs mid","Endothelial cell","NPDC1",2.96e-53,0.661961467,0.928,0.714,5.05e-49,"UP",FALSE,TRUE
"142","Bladder","old vs mid","Endothelial cell","HSP90AA1",6.12e-53,0.932994561,0.976,0.915,1.04e-48,"UP",FALSE,FALSE
"143","Bladder","old vs mid","Endothelial cell","HPGD",1.08e-50,-0.873553743,0.04,0.209,1.84e-46,"DOWN",FALSE,FALSE
"144","Bladder","old vs mid","Endothelial cell","CSTB",3.45e-49,-0.964364893,0.748,0.804,5.88e-45,"DOWN",FALSE,FALSE
"145","Bladder","old vs mid","Endothelial cell","MMP7",5.05e-49,-0.815962431,0.017,0.183,8.6e-45,"DOWN",FALSE,FALSE
"146","Bladder","old vs mid","Endothelial cell","CRIP1",7.17e-49,1.383379505,0.584,0.211,1.22e-44,"UP",FALSE,FALSE
"147","Bladder","old vs mid","Endothelial cell","TSTD1",4.22e-48,-0.662922033,0.038,0.235,7.19e-44,"DOWN",FALSE,TRUE
"148","Bladder","old vs mid","Endothelial cell","SNCG",8.57e-48,-0.946486553,0.674,0.786,1.46e-43,"DOWN",FALSE,FALSE
"149","Bladder","old vs mid","Endothelial cell","FABP5",9.84e-47,-1.218302802,0.61,0.771,1.68e-42,"DOWN",FALSE,FALSE
"150","Bladder","old vs mid","Endothelial cell","HSPD1",1.37e-46,1.062303329,0.791,0.539,2.33e-42,"UP",FALSE,FALSE
"151","Bladder","old vs mid","Endothelial cell","EGFL7",4.84e-45,0.820676858,0.732,0.369,8.25e-41,"UP",FALSE,TRUE
"152","Bladder","old vs mid","Endothelial cell","IER5L",1.05e-44,0.690356596,0.382,0.062,1.79e-40,"UP",TRUE,FALSE
"153","Bladder","old vs mid","Endothelial cell","AKR1C2",4.93e-43,-0.726653267,0.065,0.289,8.41e-39,"DOWN",FALSE,FALSE
"154","Bladder","old vs mid","Endothelial cell","CRABP2",1.18e-42,-0.708441126,0.056,0.201,2.01e-38,"DOWN",FALSE,FALSE
"155","Bladder","old vs mid","Endothelial cell","TNFRSF10D",1.81e-42,0.783619127,0.612,0.253,3.09e-38,"UP",FALSE,TRUE
"156","Bladder","old vs mid","Endothelial cell","TXN",2.38e-42,-0.711383238,0.891,0.948,4.06e-38,"DOWN",FALSE,FALSE
"157","Bladder","old vs mid","Endothelial cell","KLF4",2.71e-42,1.079496118,0.806,0.539,4.62e-38,"UP",FALSE,FALSE
"158","Bladder","old vs mid","Endothelial cell","JUNB",9.43e-42,0.923684638,0.984,0.907,1.61e-37,"UP",FALSE,FALSE
"159","Bladder","old vs mid","Endothelial cell","ESAM",2.27e-41,0.680132288,0.791,0.464,3.87e-37,"UP",FALSE,FALSE
"160","Bladder","old vs mid","Endothelial cell","CITED2",3.56e-41,0.788453997,0.56,0.209,6.08e-37,"UP",FALSE,FALSE
"161","Bladder","old vs mid","Endothelial cell","FLT1",5.78e-41,0.820156683,0.729,0.392,9.85e-37,"UP",FALSE,TRUE
"162","Bladder","old vs mid","Endothelial cell","LIPH",1.12e-40,-0.771128112,0.009,0.134,1.92e-36,"DOWN",FALSE,TRUE
"163","Bladder","old vs mid","Endothelial cell","HMGA1",1.75e-40,-0.68290731,0.309,0.454,2.99e-36,"DOWN",FALSE,FALSE
"164","Bladder","old vs mid","Endothelial cell","COL4A1",4.31e-40,1.14396315,0.616,0.281,7.35e-36,"UP",FALSE,TRUE
"165","Bladder","old vs mid","Endothelial cell","BTG2",6.61e-39,0.851107653,0.777,0.485,1.13e-34,"UP",FALSE,FALSE
"166","Bladder","old vs mid","Endothelial cell","ATP1B1",1.21e-38,-0.699416373,0.064,0.216,2.06e-34,"DOWN",FALSE,TRUE
"167","Bladder","old vs mid","Endothelial cell","CD9",5.41e-38,-0.761274987,0.743,0.845,9.23e-34,"DOWN",FALSE,FALSE
"168","Bladder","old vs mid","Endothelial cell","LCN2",1.12e-37,-0.845692804,0.009,0.137,1.91e-33,"DOWN",FALSE,FALSE
"169","Bladder","old vs mid","Endothelial cell","SOX18",2.04e-37,0.985303006,0.56,0.224,3.48e-33,"UP",FALSE,TRUE
"170","Bladder","old vs mid","Endothelial cell","MT-CYB",5.56e-36,-0.645078029,0.993,1,9.48e-32,"DOWN",FALSE,FALSE
"171","Bladder","old vs mid","Endothelial cell","RCAN1",2.52e-34,0.977382519,0.814,0.588,4.29e-30,"UP",FALSE,TRUE
"172","Bladder","old vs mid","Endothelial cell","CCL20",1.07e-33,-0.994942955,0.042,0.168,1.82e-29,"DOWN",FALSE,FALSE
"173","Bladder","old vs mid","Endothelial cell","GDF15",1.26e-33,-0.935441831,0.163,0.276,2.15e-29,"DOWN",FALSE,FALSE
"174","Bladder","old vs mid","Endothelial cell","SERPINH1",4.63e-33,0.792822888,0.711,0.433,7.89e-29,"UP",FALSE,FALSE
"175","Bladder","old vs mid","Endothelial cell","BST2",1.12e-32,0.642103875,0.786,0.51,1.9e-28,"UP",FALSE,TRUE
"176","Bladder","old vs mid","Endothelial cell","DKK1",2.53e-32,-0.914197784,0.029,0.168,4.32e-28,"DOWN",FALSE,FALSE
"177","Bladder","old vs mid","Endothelial cell","CXCL8",3.21e-32,-1.127351572,0.486,0.562,5.47e-28,"DOWN",FALSE,FALSE
"178","Bladder","old vs mid","Endothelial cell","HES4",9.69e-32,-0.729286271,0.303,0.42,1.65e-27,"DOWN",FALSE,FALSE
"179","Bladder","old vs mid","Endothelial cell","RAMP3",2.7e-31,0.649865018,0.817,0.567,4.6e-27,"UP",FALSE,TRUE
"180","Bladder","old vs mid","Endothelial cell","MT-ND3",5.15e-31,-0.832465932,0.984,0.997,8.78e-27,"DOWN",FALSE,FALSE
"181","Bladder","old vs mid","Endothelial cell","NCOA7",5.27e-31,1.192495214,0.782,0.678,8.98e-27,"UP",FALSE,FALSE
"182","Bladder","old vs mid","Endothelial cell","MMP1",8.28e-31,-0.977708915,0.166,0.284,1.41e-26,"DOWN",TRUE,FALSE
"183","Bladder","old vs mid","Endothelial cell","MAFF",2.25e-30,0.670932323,0.713,0.433,3.84e-26,"UP",FALSE,FALSE
"184","Bladder","old vs mid","Endothelial cell","RND1",3.32e-30,0.848535356,0.772,0.497,5.66e-26,"UP",FALSE,TRUE
"185","Bladder","old vs mid","Endothelial cell","LRRC32",4.59e-30,0.685781662,0.608,0.309,7.83e-26,"UP",FALSE,TRUE
"186","Bladder","old vs mid","Endothelial cell","MT-ATP6",1.03e-29,-0.685668787,0.994,0.995,1.76e-25,"DOWN",FALSE,FALSE
"187","Bladder","old vs mid","Endothelial cell","ETS1",1.86e-29,0.702051212,0.668,0.399,3.17e-25,"UP",FALSE,TRUE
"188","Bladder","old vs mid","Endothelial cell","IGF2",6.74e-29,-0.727813521,0.056,0.216,1.15e-24,"DOWN",FALSE,FALSE
